state,state_code,year,minJanuary,minFebruary,minMarch,minApril,minMay,minJune,minJuly,minAugust,minSeptember,minOctober,minNovember,minDecember,maxJanuary,maxFebruary,maxMarch,maxApril,maxMay,maxJune,maxJuly,maxAugust,maxSeptember,maxOctober,maxNovember,maxDecember
Alabama,001,1925,37.1,40.2,43.5,53.8,56.3,67.9,69.5,67.4,69.4,53.8,40.4,32.2,57.2,64.3,70.8,80.8,82.6,93.3,93.6,93.3,96.8,75.8,63.2,55.7
Alabama,001,1926,33.7,38,38.1,46.8,56.6,65.3,67.2,70.2,68.1,53.8,37.2,38.9,53.8,62.1,59.8,74,83.4,89.4,90.9,90.4,89.8,78.3,61.5,61.8
Alabama,001,1927,36.2,46.7,44.5,55.3,60.3,67.8,68.7,66.3,63.4,51.6,47.2,34.7,59.5,68.7,67.4,79.8,84.8,88.3,92.4,89.8,90.8,81.5,71.4,57
Alabama,001,1928,31.9,35.6,43.4,47,56.7,65.7,69.6,69.6,61,55,40.1,33.1,56,59,67.1,71.4,81.5,86,91.4,91.6,84.8,79.4,64.5,58.3
Alabama,001,1929,36.3,34.3,46.9,54.6,60.2,65.4,68.1,66.8,63.9,50.3,45.1,32.1,59.9,56.4,70.5,78.1,82.1,88.5,91.4,93,84.9,74.4,62.6,56.2
Alabama,001,1930,33.9,40.3,40.4,50.4,60.2,63.5,69.8,66.5,65.9,49.4,43.3,33,55.7,65.8,62.8,78.8,84.4,89.9,96.9,91.7,86.9,73.6,62.6,52.3
Alabama,001,1931,32.1,36.3,37.5,47.7,55.1,64.6,69.9,65.9,65.6,54.1,46.4,45,55.3,61.6,60.7,74,80.7,93.8,92.5,89,92.2,80.9,73,63.6
Alabama,001,1932,41.2,45.9,38.4,50.6,57.4,66.9,71.1,69.4,63.9,49.3,37.4,39.3,62.5,68,63,77.2,81.3,90,93.6,91.1,84.7,74.7,60.5,58.9
Alabama,001,1933,41.2,37.5,42.4,50.2,63.5,64.3,68.8,68.4,66.1,52.4,40.2,43.3,61.6,58.7,67.4,73.7,87.7,91.8,89.3,90.8,91.6,78.1,67.1,66.5
Alabama,001,1934,38,31.2,40.2,50.8,59.4,67.8,70.4,69.8,61.5,53.1,43.2,34.3,58.6,56.4,65.9,76.1,83,91.1,92,90.4,86.5,78.5,68.4,55.3
Alabama,001,1935,35.6,36.7,48.6,52.4,60.1,64.2,69.3,69.8,61.9,52.1,43.4,28.8,57.9,60.3,72.2,75,83.8,88.3,91.9,91.8,86.2,80,66.1,49.4
Alabama,001,1936,32,33.3,45.2,48.7,59.7,66.1,69.8,68.8,66.1,53.7,39.4,38.9,54.2,55.8,71.4,73.6,85.7,94.6,92.6,91.5,89.3,78.2,64.1,58.5
Alabama,001,1937,48.9,36.7,39.5,49.2,59.9,67.9,67.4,69.2,61.4,50.6,38.8,34.9,65,58.3,64.7,75.8,84.4,91.3,91.3,91.3,84.2,73,61.4,55.9
Alabama,001,1938,35.6,42,50.1,50.9,60.2,65,69.3,68.9,61.1,49.9,41,33.9,56.8,66,73.9,75.2,84,88.2,90.2,92.6,87.2,80.5,68.6,57.7
Alabama,001,1939,37.2,40.1,45.2,48.8,58.6,68,68.8,67.2,64.6,51.9,37.7,35.6,60.4,63.2,70.3,74,81.5,88.6,91.4,88.3,88.1,79.1,64.1,60
Alabama,001,1940,21.2,34.4,41.6,49.7,54.3,65.3,68,68.5,58.7,49.6,41.1,40,43,54.3,66.3,72.8,81.7,87.6,87.8,90.7,86.5,79.9,65,60.1
Alabama,001,1941,34.5,32,37.4,52.2,58.6,66.5,69.9,69.3,65.5,58.7,39.4,37.6,57.9,53.3,60.6,77.3,86.8,89.6,90,90.8,89.1,83,66.1,59.9
Alabama,001,1942,29.5,32.8,42,48.8,57.5,66.5,69.2,67.1,60.6,51.2,42.5,36.3,55.5,53.6,65.8,78.3,83.5,89.2,91.4,88.5,84.3,78.1,69.5,58.4
Alabama,001,1943,36.2,36,41,49.6,60.9,68.8,70,69,60.3,47.3,35.7,34.5,59.1,62.8,64.5,76.3,85.7,93,92.3,93.9,83.1,75.8,65.9,56.4
Alabama,001,1944,34.1,43.7,44,49.9,59.1,67.1,66.8,68.5,64.8,48.1,41.4,33.2,56.3,64.3,68.1,73.3,85.1,93.2,91.8,89,85.8,77.9,65.4,55.7
Alabama,001,1945,33.6,40.4,51.3,52.8,55.9,66,68.6,67.9,65.6,49.6,43.1,30.2,56,62.3,75.5,78,81,90.4,90.2,90.8,88.6,75.6,68.2,50.8
Alabama,001,1946,36.6,36.7,48,52.8,58.8,64.5,69.1,66.2,62.2,50.2,48.7,37.4,56.4,62.9,71.8,79,80.8,87,88.1,88.4,82.7,77.3,69.9,63.1
Alabama,001,1947,40.1,27.7,36.6,53.5,57.4,65.5,64.7,69.2,64.4,57.2,41.8,35.1,58.4,54.5,60.7,76.4,81.5,87.8,89.1,92,87.7,80.6,61.7,59.2
Alabama,001,1948,27.2,40,47.1,54.3,58,66.1,69.3,67.1,61.2,46.5,44.3,39,49.8,60.5,68.7,79.2,84.5,91.5,91.6,89.8,83.7,75.4,66.8,60
Alabama,001,1949,42.3,42,41.6,50.1,59.2,66.7,70.3,68.1,61.2,58.7,37.2,37,63,63.2,65.8,72.7,85,87.7,90.3,89.7,83.6,79.2,66.5,60.2
Alabama,001,1950,49.4,40.7,40.2,46.3,62.3,66.1,67,65.2,62,53.7,34.4,30.8,68.4,65.8,64.3,72.1,85,89,88,88.9,82.2,78.5,62.8,51.7
Alabama,001,1951,34.8,36.8,44.9,48.4,55.8,66.5,69.1,69.3,64.3,53,36,38.1,58.9,61.8,67.2,73.9,84.5,90.4,92.5,95.4,87,78.8,61.3,61.7
Alabama,001,1952,41.8,40.3,40.8,47.6,58.6,69,68.8,68.3,60.2,42.7,38.1,34.6,63,61.8,65.9,74.5,84.3,95,95.8,91.1,84,72.6,65.6,56.1
Alabama,001,1953,37.3,37.6,46.2,47.4,62.5,68.3,69,66.6,60,50.5,37.7,34.1,60.6,60.2,70,73.8,85.2,92.8,90.2,91.5,87.3,80.1,66.6,54.8
Alabama,001,1954,35.1,38.1,41.9,54.6,54,65.3,70,69.4,63.3,50.7,37.8,32.6,58.7,66,65.7,80.4,78.3,92.6,94.8,97.3,93,79.6,63.9,56.6
Alabama,001,1955,33.2,37.8,45.6,53.2,60.6,60.8,69.1,68.8,64.4,47.2,38.4,35.2,54.8,60.4,71.6,79.3,86,85.8,90.5,91.9,89.2,76.7,65.2,56.8
Alabama,001,1956,30.9,42.7,41.6,48.5,60.9,64.1,67.9,67.1,58.5,53,37.5,42.3,53.5,64.4,67.5,74,85.6,88.2,91.4,93.1,85.7,76.9,64.6,66.1
Alabama,001,1957,38.1,45.9,41.7,52.8,60.4,67.8,68.4,66.6,64.2,48.8,44.6,35.6,58.8,66.9,63.7,77.2,83.1,88.7,90.9,92.4,83.4,70,65.5,59.4
